building_start_year,district,estate,house_id,housing_area,housing_status,metro,orientation,price,rental_mode,rooms,shi,ting,title,total_floor,wei,zone
2011,西湖区,坤和和家园,1.03103E+11,88,目前闲置,暂无数据,南,4000,整租,2室1厅1卫  整租,2,1,和家园两室朝南拎包入住 户型方正清爽干净一家人宜居,12,1,西溪
2016,西湖区,嘉里云荷廷,1.03103E+11,139,暂无数据,暂无数据,南,7000,暂无数据,3室2厅2卫,3,2,嘉里云荷廷 3室2厅 7000元,17,2,之江
2000,西湖区,紫荆欣苑,1.03102E+11,185,目前闲置,距地铁2号线文新465米,南,11000,整租,4室2厅2卫  整租,4,2,纯毛坯大四房，可长期出租自住设计装修风格，可塑性强,16,2,文一西路
2012,西湖区,金地自在城,1.03103E+11,89.21,目前闲置,距地铁2号线金家渡771米,南,4200,整租,3室1厅2卫  整租,3,1,金地自在城林溪里3房2卫，随时看房！,18,2,三墩
2014,下城区,阳光银泰城,1.03103E+11,52.19,目前闲置,暂无数据,西南,3500,整租,1室1厅1卫  整租,1,1,阳光银泰城精装公寓，全新装修，拎包入住,16,1,三塘
1989,西湖区,曙光新村,1.03103E+11,75,暂无数据,暂无数据,南,5000,暂无数据,2室1厅1卫,2,1,曙光新村 黄龙体育馆 精装修两房,6,1,黄龙
2012,西湖区,金地自在城,1.03103E+11,76.38,目前闲置,暂无数据,南,4000,整租,2室1厅1卫  整租,2,1,金地自在城大两房 家具家电齐全 你值得拥有,18,1,三墩
1997,西湖区,润达花园,1.03103E+11,84.3,暂无数据,距地铁2号线三墩794米,南,4200,暂无数据,3室1厅1卫,3,1,润达花园 3室1厅 4200元,6,1,三墩
2012,西湖区,西溪蝶园二期,1.03103E+11,138,目前闲置,暂无数据,南,11000,整租,3室2厅2卫  整租,3,2,西溪蝶园二期 3室2厅 11000元,15,2,西溪
2014,西湖区,黄龙雅苑,1.03103E+11,134.53,目前闲置,暂无数据,南 北,10000,整租,3室1厅1卫  整租,3,1,黄龙雅苑 别致三房 邀您来住 业主诚心出租,12,1,黄龙
2015,西湖区,复地黄龙和山,1.03103E+11,49.8,目前闲置,暂无数据,南,4500,整租,1室1厅1卫  整租,1,1,黄龙和山，朝南，大阳光房公寓！,5,1,西溪
2000,西湖区,栖霞岭,1.03103E+11,59.5,暂无数据,暂无数据,南 北,6000,暂无数据,2室1厅1卫,2,1,栖霞岭 2室1厅 6000元,3,1,黄龙
板楼,西湖区,保俶北路101号,1.03102E+11,96,目前闲置,距地铁2号线下宁桥722米,南,5100,整租,3室1厅1卫  整租,3,1,保俶北路101号 3室1厅 5100元,7,1,文教
2000,西湖区,嘉绿西苑,1.03103E+11,148,目前出租,距地铁2号线丰潭路306米,南 北,6500,整租,3室2厅1卫  整租,3,2,自住精装三居室，房东诚心出租，干净清爽,5,1,嘉绿
1998,下城区,青春坊,1.03103E+11,46,暂无数据,距地铁2号线中河北路847米,南,3200,暂无数据,1室1厅1卫,1,1,青春坊 1室1厅 3200元,7,1,长庆
1996,西湖区,南都花园一区,1.03103E+11,67.96,目前出租,距地铁2号线文新993米,南,3750,整租,2室1厅1卫  整租,2,1,南都花园经典全明户型业主诚心出租，交通生活方便,7,1,文一西路
1998,西湖区,翠苑五区,1.03103E+11,105.26,目前闲置,距地铁2号线古翠路591米,南,5800,整租,3室1厅1卫  整租,3,1,翠苑五区 3室1厅 5800元,18,1,翠苑
1995,西湖区,厚诚路110号,1.03103E+11,67,目前闲置,暂无数据,南,3300,整租,2室2厅1卫  整租,2,2,三墩镇  宜居2房     好楼层  清 爽,5,1,三墩
2012,西湖区,西溪蝶园二期,1.03103E+11,173.94,目前闲置,暂无数据,南,16800,整租,3室2厅2卫  整租,3,2,西溪蝶园二期 3室2厅 16800元,14,2,西溪
1988,西湖区,古荡新村东区,1.03103E+11,71.63,目前闲置,暂无数据,南,4600,整租,3室1厅1卫  整租,3,1,古荡 温馨三房 邀您入住 高楼层 空气好,6,1,古荡
2015,西湖区,复地黄龙和山,1.03103E+11,50,目前闲置,暂无数据,北,4500,整租,2室2厅1卫  整租,2,2,室内花园洋房！童话世界般的公寓，老少皆宜！,5,1,西溪
2013,西湖区,五洲国际广场,1.03103E+11,34.56,暂无数据,距地铁2号线三坝529米,南,3200,暂无数据,1室1厅1卫,1,1,五洲国际广场 1室1厅 3200元,11,1,申花
2001,西湖区,南都德迦东区,1.03103E+11,212,暂无数据,距地铁2号线丰潭路271米,南,18000,暂无数据,5室2厅3卫,5,2,南都德迦东区 5室2厅 18000元,5,3,文三西路
2004,西湖区,黄龙雅苑,1.03103E+11,38.64,目前闲置,暂无数据,南,4000,整租,1室1厅1卫  整租,1,1,黄龙雅苑 1室1厅 4000元,18,1,黄龙
1991,下城区,林司后,1.03103E+11,60.05,暂无数据,距地铁2号线中河北路406米,南,4000,暂无数据,2室1厅1卫,2,1,林司后 2室1厅 4000元,7,1,长庆
1998,西湖区,翠苑五区,1.03103E+11,70,暂无数据,距地铁2号线古翠路661米,南,4700,暂无数据,2室1厅1卫,2,1,翠苑两房，温馨装修，等待您的入住,18,1,翠苑
1989,西湖区,翠苑三区,1.03103E+11,46.71,目前闲置,暂无数据,南,3500,整租,2室1厅1卫  整租,2,1,翠苑三区清爽两房出租期待您的入住,6,1,翠苑
2017,余杭区,欧美金融城,1.03103E+11,42.36,目前闲置,暂无数据,北,3800,整租,2室1厅1卫  整租,2,1,欧美金融城 2室1厅 3800元,23,1,未来科技城
2004,西湖区,黄龙雅苑,1.03103E+11,54.5,目前出租,暂无数据,北,4500,整租,1室1厅1卫  整租,1,1,黄龙雅苑，一室精装，朝南户型。,18,1,黄龙
2011,西湖区,坤和西溪里,1.03103E+11,86.49,目前闲置,暂无数据,南,4500,整租,2室1厅1卫  整租,2,1,坤和西溪里2居室住宅两室一厅一厨一卫,15,1,西溪
1988,西湖区,古荡新村西区,1.03103E+11,75.46,目前出租,距地铁2号线丰潭路977米,南,3900,整租,2室1厅1卫  整租,2,1,古荡清爽两房 户型方正 两房朝南 业主诚邀您入住,6,1,古荡
2015,西湖区,复地黄龙和山,1.03103E+11,64.54,目前闲置,暂无数据,南,4500,整租,3室1厅2卫  整租,3,1,复地黄龙和山 3室1厅 4500元,5,2,西溪
2007,西湖区,留庄,1.03103E+11,63,暂无数据,暂无数据,南 西南,3000,暂无数据,1室1厅1卫,1,1,留庄 1室1厅 3000元,3,1,西溪
2017,西湖区,融信杭州公馆,1.03103E+11,89,暂无数据,距地铁2号线学院路1119米,南 北,7200,暂无数据,3室2厅2卫,3,2,融信杭州公馆 3室2厅 7200元,30,2,文教
1990,西湖区,古荡新村西区,1.03103E+11,69.25,目前闲置,距地铁2号线古翠路939米,南 北,4800,整租,3室1厅1卫  整租,3,1,短租房，房东诚心出租哦，简单装修,6,1,古荡
1998,下城区,青春坊,1.03103E+11,56,目前出租,距地铁2号线中河北路637米,南,5300,整租,2室1厅1卫  整租,2,1,青春坊 2室1厅 5300元,7,1,长庆
2017,西湖区,融创河滨之城,1.03104E+11,89,暂无数据,暂无数据,东 东南 南 西南 西,5200,暂无数据,3室2厅2卫,3,2,融创河滨之城 3室2厅 5200元,18,2,西溪
1993,西湖区,翠苑四区,1.03103E+11,56,目前出租,距地铁2号线古翠路623米,南,3950,整租,2室1厅1卫  整租,2,1,翠苑四区 温馨二室 近地铁交通便利 价位实惠,7,1,翠苑
2017,余杭区,新城峯璟,1.03103E+11,116.24,目前闲置,暂无数据,南,7500,整租,4室1厅2卫  整租,4,1,新城峯璟 4室1厅 7500元,7,2,未来科技城
1998,西湖区,黄姑山庄,1.03103E+11,91.96,目前闲置,暂无数据,南,5200,整租,3室1厅1卫  整租,3,1,黄姑山庄干净清爽三房，户型正气，位置优越,7,1,九莲
1988,西湖区,古荡新村西区,1.03103E+11,50,目前出租,暂无数据,南,3500,整租,2室1厅1卫  整租,2,1,古荡新村西区 2室1厅 3500元,6,1,古荡
1988,西湖区,古荡新村西区,1.03103E+11,46.47,目前闲置,距地铁2号线古翠路1128米,南 北,3000,整租,2室1厅1卫  整租,2,1,自住简装两居室，房东诚心出租哦,6,1,古荡
1996,西湖区,茶市新村,1.03103E+11,75,目前闲置,暂无数据,南,3200,整租,3室1厅1卫  整租,3,1,茶市新村 3室1厅 3200元,6,1,西溪
板楼,西湖区,青石桥24幢,1.03103E+11,103.28,暂无数据,暂无数据,东南,7800,暂无数据,3室2厅1卫,3,2,青石桥24幢 3室2厅 7800元,6,1,黄龙
2005,西湖区,中豪晴园,1.03103E+11,136.56,暂无数据,距地铁2号线学院路960米,南,8500,暂无数据,3室2厅2卫,3,2,中豪晴园 3室2厅 8500元,11,2,文教
2012,西湖区,金地自在城,1.03103E+11,43.94,目前闲置,距地铁2号线金家渡1199米,南,2800,整租,1室1厅1卫  整租,1,1,金地舒适单间，家具家电齐全....,20,1,三墩
1998,下城区,青春坊,1.03103E+11,55.61,目前自住,距地铁2号线中河北路681米,南 北,4300,整租,2室1厅1卫  整租,2,1,青春坊 2室1厅 4300元,7,1,长庆
1996,西湖区,亚洲城花园,1.03103E+11,76,目前闲置,距地铁2号线丰潭路845米,东,4500,整租,2室1厅1卫  整租,2,1,亚洲城花园  精装两房 业主诚心出租不可错过的电梯房,14,1,古荡
2012,西湖区,金地自在城,1.03103E+11,89,目前闲置,距地铁2号线金家渡839米,南,4900,整租,3室1厅2卫  整租,3,1,金地自在城 3室1厅 4900元,17,2,三墩
2017,余杭区,欧美金融城,1.03103E+11,42.36,暂无数据,暂无数据,北,3300,暂无数据,1室1厅1卫,1,1,欧美金融城 1室1厅 3300元,23,1,未来科技城
2000,西湖区,名仕家园,1.03103E+11,123,目前出租,距地铁2号线文新754米,南,7000,整租,3室2厅2卫  整租,3,2,名仕家园边套三房诚心出租，居家装修诚招一家人,6,2,文一西路
2007,西湖区,耀江文鼎苑,1.03103E+11,142.97,暂无数据,距地铁2号线三坝807米,南,8200,暂无数据,3室1厅2卫,3,1,耀江文鼎苑 3室1厅 8200元,24,2,申花
1996,西湖区,翠苑二区北区,1.03103E+11,45.17,目前出租,暂无数据,南,3000,整租,1室1厅1卫  整租,1,1,三 楼 干 净 一 居 室 出 租，经济实惠,7,1,翠苑
2015,西湖区,复地黄龙和山,1.03103E+11,65,目前闲置,暂无数据,南,4800,整租,3室1厅1卫  整租,3,1,复地黄龙和山，家具家电齐全，装修新颖，可拎包入住！,5,1,西溪
2007,西湖区,翰墨香林苑,1.03103E+11,136,暂无数据,暂无数据,南 北,2800,暂无数据,3室2厅2卫,3,2,翰墨香林苑 3室2厅 2800元,11,2,小和山
2013,西湖区,文溪鼎园,1.03103E+11,88.4,目前闲置,距地铁2号线丰潭路818米,南,7800,整租,2室1厅1卫  整租,2,1,文溪鼎园 大两房出租 自住装修，绿城物业，精装修,7,1,文一西路
1996,西湖区,南都花园三区,1.03103E+11,94,目前闲置,暂无数据,南,5600,整租,4室1厅1卫  整租,4,1,南都花园三区 4室1厅 5600元,6,1,文一西路
1995,下城区,德胜东村,1.03103E+11,45,暂无数据,暂无数据,南,2400,暂无数据,1室1厅1卫,1,1,德胜东村 1室1厅 2400元,7,1,德胜东
2010,西湖区,金都城市芯宇,1.03103E+11,92.42,目前闲置,暂无数据,南,7600,整租,2室1厅1卫  整租,2,1,金都城市芯宇 2室1厅 7600元,29,1,文教
2013,西湖区,西溪诚园守纯苑,1.03103E+11,166.47,目前闲置,暂无数据,南 北,20000,整租,3室2厅2卫  整租,3,2,高品质的房子，旁边是西溪银泰城,11,2,西溪
2010,余杭区,君临天下,1.03104E+11,53,暂无数据,距地铁1号线(临平-湘湖)临平1169米,南,3000,暂无数据,1室1厅1卫,1,1,君临天下 1室1厅 3000元,32,1,临平
暂无数据,西湖区,都市阳光和苑,1.03103E+11,62.28,暂无数据,暂无数据,南,2500,暂无数据,2室1厅1卫,2,1,都市阳光和苑 2室1厅 2500元,28,1,良渚
板楼,西湖区,南都德迦西区,1.03103E+11,149.68,目前闲置,距地铁2号线丰潭路808米,南,12000,整租,3室2厅2卫  整租,3,2,南都德迦西区 3室2厅 12000元,5,2,文三西路
2003,西湖区,锦绣文苑,1.03103E+11,132.24,目前闲置,距地铁2号线武林门692米,南,10000,整租,3室2厅1卫  整租,3,2,两房朝南，一房朝西，电梯房。房东诚心出租。,9,1,文三
2015,西湖区,复地黄龙和山,1.03103E+11,89.6,目前闲置,暂无数据,东 南 北,5200,整租,3室2厅1卫  整租,3,2,简约装修，可拎包入住，一家人的好选择,8,1,西溪
板楼,西湖区,保俶路165号,1.03103E+11,51.26,目前闲置,距地铁2号线武林门1055米,南,4000,整租,2室1厅1卫  整租,2,1,距离保小500米，二房清爽装修，看房有钥匙，随时入住,5,1,黄龙
2005,西湖区,山水人家白沙岛,1.03103E+11,171,暂无数据,暂无数据,南,9000,暂无数据,4室2厅2卫,4,2,山水人家白沙岛 4室2厅 9000元,11,2,文三西路
2010,西湖区,金都城市芯宇,1.03103E+11,197,目前闲置,暂无数据,南,13000,整租,3室2厅3卫  整租,3,2,金都城市芯宇 3室2厅 13000元,29,3,文教
2006,下城区,水岸雅苑,1.03103E+11,75.7,目前闲置,暂无数据,南 北,4500,整租,2室1厅1卫  整租,2,1,水岸雅苑 2室1厅 4500元,6,1,三里亭
1989,西湖区,古荡新村东区,1.03103E+11,73.11,目前出租,距地铁2号线古翠路1071米,南,4500,整租,3室1厅1卫  整租,3,1,古荡温馨三房 户型方正 业主诚心出租 可以做员工宿舍,6,1,古荡
1989,西湖区,曙光新村,1.03103E+11,50,暂无数据,暂无数据,南,4500,暂无数据,2室1厅1卫,2,1,曙光新村 2室1厅 4500元,6,1,黄龙
2013,余杭区,恒厚阳光城,1.03103E+11,90,暂无数据,暂无数据,南 北,2600,暂无数据,3室2厅1卫,3,2,恒厚阳光城 3室2厅 2600元,10,1,闲林
2008,西湖区,新安嘉苑,1.03103E+11,105,目前闲置,暂无数据,南,3500,整租,3室1厅1卫  整租,3,1,毛坯房，仓库，办公最适合！！！,17,1,文三西路
暂无数据,西湖区,紫金西苑,1.03103E+11,123.9,暂无数据,暂无数据,南,5200,暂无数据,2室2厅2卫,2,2,紫金西苑 2室2厅 5200元,18,2,西溪
2010,西湖区,宁波大厦,1.03103E+11,174.7,目前闲置,距地铁2号线武林门585米,南,13000,整租,1室0厅1卫  整租,1,0,宁波大厦平写字楼，房东诚心出租,22,1,文三
2000,西湖区,留下西苑,1.03103E+11,77,目前闲置,暂无数据,南,3600,整租,2室1厅1卫  整租,2,1,业主自住好房，现出租，优质好房,7,1,西溪
2001,西湖区,桂花城,1.03103E+11,138.32,目前闲置,距地铁2号线文新822米,南 北,11000,整租,3室2厅2卫  整租,3,2,绿城桂花城小区带南花园的精装３房出租,4,2,文一西路
2012,西湖区,金地自在城,1.03103E+11,124.5,暂无数据,距地铁2号线金家渡978米,南,6500,整租,3室2厅2卫  整租,3,2,金地自在城 3室2厅 6500元,26,2,三墩
1985,西湖区,花园南村,1.03103E+11,54.8,目前自住,距地铁2号线学院路408米,南,2800,整租,2室1厅1卫  整租,2,1,花园南村 2室1厅 2800元,6,1,文教
2006,下城区,三里家园一区,1.03103E+11,55,目前闲置,暂无数据,南,3100,整租,1室1厅1卫  整租,1,1,三里家园1室2厅，业主自住婚房精装修标准，随时看房,7,1,三里亭
1988,西湖区,古荡新村西区,1.03104E+11,62.26,目前出租,距地铁2号线丰潭路1000米,南,4300,整租,2室1厅1卫  整租,2,1,古荡新村 两房朝南 温馨好房 邀您入住,6,1,古荡
1995,西湖区,古荡新村西区,1.03103E+11,62,暂无数据,距地铁2号线丰潭路1087米,南,3500,暂无数据,2室1厅1卫,2,1,古荡新村西区 2室1厅 3500元,6,1,古荡
2016,余杭区,合景瑜翠园,1.03104E+11,107.36,暂无数据,暂无数据,南 北,5000,暂无数据,3室1厅2卫,3,1,合景瑜翠园 3室1厅 5000元,31,2,未来科技城
2014,余杭区,复地连城国际,1.03103E+11,87.94,目前闲置,距地铁1号线(临平-湘湖)乔司南1058米,南,3200,整租,3室2厅1卫  整租,3,2,复地连城国际 3室2厅 3200元,11,1,乔司
2013,西湖区,西溪诚园守纯苑,1.03103E+11,166.47,暂无数据,暂无数据,南 北,25000,暂无数据,3室2厅2卫,3,2,西溪诚园守纯苑 3室2厅 25000元,12,2,西溪
1993,西湖区,翠苑四区,1.03103E+11,54.77,目前出租,距地铁2号线古翠路585米,南,3500,整租,2室1厅1卫  整租,2,1,链家真实房源，翠苑四区，两房中间楼层,7,1,翠苑
2018,余杭区,奥克斯杭州未来中心,1.03103E+11,116,暂无数据,暂无数据,南,4700,暂无数据,3室2厅2卫,3,2,奥克斯杭州未来中心 3室2厅 4700元,44,2,未来科技城
2009,西湖区,白马尊邸,1.03103E+11,102,目前出租,距地铁2号线金家渡1081米,南,4700,整租,2室2厅1卫  整租,2,2,地铁口两房，南北通透，次新小区,18,1,三墩
2005,西湖区,毛家桥公寓,1.03103E+11,90,暂无数据,距地铁2号线古翠路612米,南,7000,暂无数据,2室2厅1卫,2,2,毛家桥公寓 2室2厅 7000元,11,1,嘉绿
2008,余杭区,爵士风情花园,1.03103E+11,79.28,目前闲置,暂无数据,南,3000,整租,2室2厅1卫  整租,2,2,爵士风情俩房，简单装修，采光好视野开阔，看房方便,6,1,闲林
2009,余杭区,爵士风情花园,1.03103E+11,113.68,目前闲置,暂无数据,南,3000,整租,3室1厅2卫  整租,3,1,爵士风情大三房，简单装修，采光好视野开阔，看房方便,6,2,闲林
2007,西湖区,耀江文鼎苑,1.03103E+11,136,暂无数据,距地铁2号线三坝751米,南 北,9000,暂无数据,3室2厅2卫,3,2,耀江文鼎苑 3室2厅 9000元,18,2,申花
2015,西湖区,爱尚里,1.03103E+11,37,暂无数据,暂无数据,东,2400,暂无数据,1室1厅1卫,1,1,爱尚里 1室1厅 2400元,13,1,申花
1983,西湖区,马塍路19号,1.03103E+11,37.42,目前闲置,距地铁2号线沈塘桥589米,南,3000,整租,2室0厅1卫  整租,2,0,空置房源，房东诚心出租，希望找个有缘租客,5,1,文三
2017,西湖区,万科坤和玉泉,1.03103E+11,138,目前闲置,暂无数据,南 北,9000,整租,3室2厅3卫  整租,3,2,万科坤和玉泉 3室2厅 9000元,4,3,西溪
