estate,total_time
拱墅区都市水乡水月苑,48
拱墅区大塘新村,26
上城区耀江广厦,19
余杭区迪凯运河印象,66
滨江区春波西苑,47
余杭区星桥桂花城,107
萧山区绿城西子郁金香岸,78
上城区北落马营,43
滨江区缤纷东院,63
拱墅区杭钢南苑,46
上城区宏农里28-30号,26
余杭区赞成首府,71
滨江区钱塘滨和花园,39
上城区八卦新村,46
拱墅区中兴御田清庭,45
江干区东方御府,43
上城区未央村,29
上城区宋浇造巷,26
西湖区广宇西城年华,55
拱墅区红石中央花苑,20
西湖区宝石二路6号,29
余杭区凯喜雅锦河湾,67
西湖区众安白马山庄,57
江干区远洋香奈,68
西湖区恒升花苑,25
西湖区梧桐燕庐,88
江干区金沙国际,65
江干区采荷人家,38
滨江区欣盛东方郡西区,36
拱墅区塘河北村,45
滨江区星耀城,30
拱墅区大关南四苑,39
余杭区世纪嘉园晴彩巴厘,76
西湖区云溪印象,82
萧山区潘水苑,63
余杭区顺达花苑西区,84
余杭区石榴派,80
江干区下沙文汇苑,61
滨江区钱江水晶城,53
下城区北景园芳洲苑,59
下城区漾河公寓,40
余杭区竹海水韵,58
滨江区江南豪园,35
西湖区桃园新村,29
萧山区华瑞中心,52
拱墅区小河路295号,49
江干区三堡北苑,44
下城区长德公寓,48
江干区铭和苑新荷坊,60
江干区常青苑,32
下城区五里塘苑,25
拱墅区半道红小区,19
余杭区南湖明筑花苑,83
萧山区置地大厦,49
下城区流水苑,29
余杭区德信早安,75
上城区涌金广场聚景阁,35
余杭区富力西溪悦墅,65
西湖区城北商贸园,42
江干区金色黎明一期,63
下城区天堂园轴承宿舍,50
下城区重机宿舍,47
西湖区厚诚路128号,58
江干区野风海天城,59
余杭区东海闲湖城印象加州,63
西湖区之江九里,63
江干区天阳九筑,58
萧山区英冠水天城,47
萧山区奥兰多小镇,38
西湖区曙光路三弄,29
滨江区春波小区,43
余杭区华惠家园,106
西湖区西溪路22-97号,30
西湖区珊瑚沙家园,72
江干区圆梦园锦江南苑,50
余杭区文明小区,89
拱墅区沈塘苑,20
西湖区都市阳光乐苑,73
江干区万科大家钱塘府,44
西湖区文二路160号,34
西湖区嘉里云荷廷,71
余杭区万科未来城三期梦溪里,99999999999
下城区德欣城市嘉园,49
西湖区山水人家诗家谷,38
下城区大树路3号,33
西湖区胜利新村,19
西湖区融创河滨之城,67
西湖区都市阳光嘉苑,67
余杭区广厦天都城天河苑,57
滨江区钱塘福苑,97
上城区云雀苑,41
滨江区积家,70
余杭区绿城莲园,87
萧山区回澜南园,86
江干区卓越蔚蓝领秀一期,93
余杭区星育佳园,95
拱墅区一清新村,28
余杭区万科北宸之光,64
拱墅区新安天苑,52
萧山区花城名苑,78
上城区凯恩西湖金座,32
江干区景芳三区,34
江干区三义锦唐苑,62
西湖区星洲花园圣陶沙韵,36
萧山区德意中兴广场,50
余杭区亲亲家园二期,50
萧山区海杰德大厦,53
拱墅区融信蓝孔雀,55
西湖区丹枫新村,46
江干区绿城玉兰公寓,39
西湖区欣园居,24
余杭区紫晶时代,53
上城区定安路49号,17
下城区东新园新湖苑,53
余杭区华立和郡,88
西湖区嘉绿景苑西园,50
江干区三里亭苑三区,41
余杭区太平家园,106
拱墅区金瑞城市风景,46
萧山区中粮云涛名苑,87
江干区后珠美都雅苑,64
下城区文晖路106号,25
西湖区紫金公寓,45
余杭区盛世嘉园,58
西湖区下宁巷1号,33
拱墅区耀翔悦尚,64
西湖区亚洲城花园,37
江干区昆盛肖邦,66
余杭区新南湖绿苑,78
余杭区新时代城市家园,66
萧山区佳境天城人合苑,53
余杭区广厦天都城温莎苑,57
滨江区贺田尚城,66
西湖区花园南村,25
余杭区仁惠家园,100
拱墅区都市水乡水滟苑,43
余杭区百姓弄小区,92
余杭区奥克斯杭州未来中心,76
上城区断河头,42
下城区天水巷,11
滨江区彩虹豪庭,62
余杭区余之城,60
余杭区东晖龙悦湾,121
上城区长明寺巷小区,34
余杭区耀达仁和印象,105
余杭区瑞城温莎郡,93
余杭区莱茵知己,90
滨江区湘云雅苑,48
余杭区菜市路,93
西湖区华星路88号,35
拱墅区定海西园,48
萧山区万和国际,54
余杭区理想银泰城,62
西湖区马塍路11号,29
拱墅区上尚庭,48
江干区万科紫台,49
西湖区文二路162号,34
拱墅区明园路,48
西湖区益乐路20号,47
下城区镜瑞弄,20
拱墅区景瑞申花壹号院,55
江干区圣奥领寓,41
余杭区大华西溪风情新天地,47
江干区金沙湖1号,51
西湖区转塘直街小区,58
上城区直大方伯,39
萧山区顺发康庄,71
余杭区湖山帝景湾,89
滨江区钱塘春晓,30
余杭区运河玲珑香榭,92
余杭区金帝海珀一期,92
西湖区金穗公寓,58
上城区定安路132号,14
西湖区文二路66号,29
滨江区东方商务会馆,39
西湖区弥陀寺路,24
西湖区山水人家白沙岛,36
余杭区东城丽景,58
西湖区秀里华庭,47
江干区世茂江滨花园峻景湾,79
滨江区大同公寓,64
西湖区庆丰新村,29
拱墅区首开望宸,43
余杭区大华西溪风情澄品,52
西湖区黄龙雅苑,21
余杭区朝阳西路70号,103
拱墅区德信银树湾,46
萧山区绿都四季华庭,91
西湖区新安嘉苑,42
西湖区曙光路121号,31
萧山区金马同盛,77
萧山区太古广场,71
滨江区碧水豪园,70
江干区三里新城桂苑,33
西湖区保俶路165号,26
下城区三塘樱园,43
西湖区窑背巷6号,27
萧山区新惠名苑,85
下城区横广福路,19
拱墅区大关东九苑,38
下城区水稻大厦,99999999999
西湖区影业路,34
富阳区明裕花苑,110
萧山区钱江新村一区,65
余杭区嘉和银领时代,84
下城区锦园小区,27
江干区中豪国际,42
滨江区新浦路,57
萧山区广元公寓,73
萧山区宁安大厦,50
滨江区冠山小区,83
西湖区湖畔花园秋月苑,41
萧山区新盈名苑,85
上城区望江公寓,39
拱墅区红杉雅园,50
上城区滨江家园,49
西湖区马也美上,99999999999
西湖区华元天鹅堡,42
江干区中企艮山府,43
上城区长生路31号,25
江干区机场路24-4号,44
西湖区武林门新村,27
滨江区迎春小区,37
江干区华景北苑,28
西湖区星洲花园单身公寓,34
江干区龙湖滟澜山澜轩,51
江干区杭州来福士中心,46
余杭区肖家弄,82
西湖区润达花园,45
江干区广宇上东名筑,58
拱墅区浪琴翠园,44
上城区佑圣观路5号,33
江干区五福苑二苑,46
西湖区马塍路17号,24
拱墅区保利香槟国际,56
余杭区精工新村,88
萧山区山北新苑,71
江干区盛泰名都公寓,62
江干区杭州东部国际商务中心,52
西湖区黄姑山庄,33
余杭区亲亲家园四期,58
拱墅区美都广场,34
江干区金隅空港公馆,75
西湖区瑞祺大厦,26
上城区八卦新村西区,47
西湖区西溪路536号,35
上城区义井巷,26
西湖区西溪九号,66
西湖区朗郡庭园,67
余杭区玖玖国际财富中心,89
江干区水湘人家东苑,43
江干区锦润公寓,41
萧山区众安国泰花园,68
江干区长睦家苑,63
江干区紫玉福邸,35
上城区十三湾巷,24
西湖区梦湖山庄,68
余杭区春色满园,119
西湖区文三路232号,24
下城区桃花河新村,15
拱墅区塘河南村,44
西湖区钱江之江新天地,87
上城区延庆里6号,99999999999
萧山区竹林寺,68
下城区元都新景公寓,62
江干区采荷小区金谷邨,39
江干区采荷新村,37
下城区昌化路,14
江干区华元云水苑,60
下城区泰和苑,31
萧山区南江公寓,69
萧山区新华配套房,83
下城区朝晖路90号,32
西湖区保俶北路82号,31
西湖区冠苑小区,38
江干区裕园公寓,58
萧山区大成名座,52
上城区姚园寺巷,39
西湖区翠苑三区,36
江干区农港苑,63
余杭区玉都佳苑,72
西湖区都市水乡水秀苑,47
余杭区绿城西溪融庄,78
江干区天庐苑,33
萧山区文化路4号,99999999999
萧山区广宁小区,64
余杭区兰惠家园,80
滨江区天鸿君邑,70
西湖区塘苗路28号,99999999999
拱墅区大关西八苑,34
上城区燕子弄,32
滨江区滨江宝龙城市广场,56
余杭区广厦天都城天月苑,57
余杭区乐淘城,50
拱墅区大关南一苑,33
上城区十亩田家园,47
西湖区之江家园二区,86
江干区天阳尚城国际一期,68
余杭区源峰嘉苑,96
西湖区万塘路300号,33
江干区梦琴湾,67
余杭区百家乐西园,63
西湖区紫金港湾,52
余杭区良渚花苑新村,68
上城区皮市巷,33
拱墅区玉兔路小区,36
余杭区豪波西溪润景,58
上城区钱塘人家,47
滨江区兴耀鑫都汇,40
西湖区金祝新村,21
滨江区东和时代,46
西湖区今日嘉园,28
拱墅区密渡桥路2号,15
滨江区玲珑府,43
西湖区混堂巷20号,99999999999
余杭区东田怡丰城,57
余杭区安盛家园,62
下城区通和都市枫林,47
拱墅区宝嘉誉峰,61
江干区万家花园家和苑,35
下城区浙报公寓,19
拱墅区蓝色霞湾,35
余杭区交通宿舍,91
西湖区天湖公寓,47
余杭区三墩景溪北苑,99999999999
萧山区东方一号,62
拱墅区盛德嘉苑,32
上城区柴校坊,42
余杭区凯文杭庄,90
下城区羊千弄,19
余杭区闲林山水木兰苑,58
余杭区树兰书香名邸,89
西湖区银桂花园,41
西湖区信鸿花园南区,65
江干区杭州港龙城,27
余杭区塘栖一小区,87
江干区天运花园,27
江干区凯旋新村,35
余杭区华元美林公馆,53
江干区长睦邻里人家东苑,69
余杭区大华西溪风情,54
余杭区美好桂花星城,76
余杭区同城印象花苑西区,79
滨江区中赢康康谷,38
西湖区西溪路517号,36
萧山区南岸花城,89
西湖区王家弄,24
余杭区同城印象花苑北区,85
余杭区浙商开元名都祺寓,62
下城区施家花园,21
下城区三里家园一区,49
上城区后市街,22
西湖区马塍路34号,27
滨江区温兴风情苑,48
余杭区广厦天都城天水苑,61
西湖区中兴公寓,39
余杭区蓝江四季晶品,85
下城区杭州新天地,44
西湖区古荡新村西区,37
余杭区滨江万家名城,64
萧山区顺发江南丽锦,53
西湖区中豪晴园,27
江干区采荷小区芙蓉邨,38
下城区新华坊社区,28
萧山区开元加州阳光小区,63
萧山区宁都花园,67
滨江区中南白马湖壹号,65
拱墅区米市新村,27
萧山区金地天逸,47
临安区青山鹤岭,96
余杭区金世纪红枫苑,99999999999
江干区中沙东岸嘉园三区,55
西湖区秋水苑,44
余杭区恒和依山郡,126
江干区云峰家园,57
西湖区耀江文欣苑,30
余杭区富邦星座,68
余杭区赞成檀府,102
萧山区商城花园,89
江干区三里家园三区,50
萧山区佳境天城成合苑,53
拱墅区大关南三苑,35
上城区南班巷,29
拱墅区文一路38弄,26
拱墅区西铭苑,49
江干区太平门直街116-1号,38
拱墅区名城公馆,47
富阳区东吴商城,147
余杭区良渚文化村柳映坊二期,85
萧山区利二花苑,51
余杭区瑞金华翠嘉苑,74
江干区景芳六区,34
余杭区科嘉苑,73
下城区长隆公寓,51
余杭区伊世纪城市花园一区,89
西湖区康乐新村,40
江干区广利佳苑,50
萧山区杭州萧山国际商务中心,71
西湖区梅苑阁小区,27
江干区柏悦公馆,64
西湖区康新花园,33
萧山区新白马公寓,67
余杭区良渚文化村白鹭郡南,95
上城区龙华巷4到11号,26
萧山区名仁家园,70
西湖区华星公寓,34
萧山区丰北一苑,54
萧山区保利霞飞郡,65
西湖区浙大新村,34
西湖区文天公寓,27
余杭区亲亲家园三期,47
拱墅区德胜新村,28
下城区昆仑公馆,30
西湖区曙光路9号,24
萧山区得力名望府,99
江干区南肖埠北景东苑,31
西湖区文二路51号,99999999999
西湖区学院路176-178号大院,37
西湖区汇丰公寓,31
下城区东方豪园,28
下城区武林桥河下,9
上城区候潮公寓,39
拱墅区宜家时代,53
江干区交通晓时代,38
拱墅区锦文雅苑,52
江干区三里新城竹苑,36
富阳区镬子山社区,128
余杭区经建绅世郡园,89
萧山区星河景庭公寓,51
滨江区保亿风景蝶院观园,61
余杭区翡翠城二期,57
西湖区星洲花园红树林,37
西湖区邮电新村,27
余杭区西溪泊岸,43
西湖区西溪路403号,33
余杭区绿城蓝庭西区,82
萧山区通和戈雅公寓,79
拱墅区大关东八苑,37
上城区凤山路79号,47
西湖区天目山路95号,26
拱墅区银河嘉园,40
拱墅区紫荆家园,38
余杭区万泰城章,80
江干区钱江六苑,42
江干区东港嘉苑二区,40
江干区保利梧桐语,45
拱墅区浙旅德信西宸,49
拱墅区富越香郡,54
余杭区五月花城,107
江干区恒祺克拉天玺,40
下城区润和亿城嘉园,55
下城区中山花园,14
西湖区雅仕苑,48
上城区民安苑,50
西湖区钱江西溪和景,41
拱墅区化纤新村,45
西湖区保俶北路101号,35
江干区采荷东区,40
萧山区天汇园星云地带,66
西湖区翠苑五区,32
萧山区滨江金色江南,50
上城区保安桥直街,36
江干区世茂江滨花园碧景湾,59
萧山区城建公寓,64
拱墅区金隅田员外,40
萧山区绿都嘉丰公馆,76
余杭区良渚文化村七贤郡,87
富阳区虎山雅苑,136
西湖区杭大新村,30
西湖区学院路99号,35
西湖区天苑花园,34
拱墅区七古登人家,42
上城区通江桥高层小区,34
江干区伊萨卡国际城排屋,74
下城区北景园竹邻苑,54
西湖区广宇西城美墅,44
萧山区广仁小区,75
江干区万科魅力之城,57
西湖区星洲花园万黛兰居,52
下城区潮鸣苑,33
江干区首开武林8栋,51
西湖区世纪新城西区,30
西湖区文三路103号,22
上城区枝头巷7-28号,99999999999
余杭区大华海派风范,81
萧山区山阴小区,66
余杭区金地西溪风华,65
江干区万科公园大道,43
西湖区西鉴枫景,40
余杭区临平桂花城北区,92
西湖区厚诚路,58
