,total_time
西湖区融科瑷骊山,89
萧山区江南丽锦,68
余杭区风雅乐府,70
下沙区金隅金座,88
西湖区黄龙雅苑,10
拱墅区宝嘉誉峰,55
江干区普升福邸,84
西湖区郡枫华庭,26
下城区龙兴桥河下,28
上城区黄公厂弄,51
拱墅区小河佳苑,47
余杭区天峻公寓,56
下城区金禾嘉苑,62
西湖区邮电新村,27
西湖区温州村,48
拱墅区塘河北村,24
上城区清河家园,62
余杭区翡翠城,64
拱墅区塘河南村,23
下城区稻香园北区,30
拱墅区万家花城,38
下城区野风现代家园,36
上城区十五奎巷,54
江干区晓时代公寓,61
下城区凤起苑,25
下城区新坝,38
下沙区宝龙城市广场,88
下城区流水西苑,31
下城区德欣城市嘉园,52
下沙区世茂广场,88
江干区新普福家园,73
下城区杭州新天地公寓,55
西湖区皇朝城市花园,33
下城区杭锅新村,53
滨江区东方郡,70
余杭区欧美金融城,61
余杭区鼎悦府,105
上城区尚筑金座,61
上城区近江四园,66
下沙区新沙家园,74
江干区东祥元府,56
西湖区梧桐公寓,28
西湖区紫荆大厦,41
拱墅区和新南苑,38
下城区水岸晶座,72
上城区上水陆寺巷,51
江干区凯林巷,88
江干区紫玉福邸,51
江干区怡静坊,38
下城区三塘樱园,42
江干区运新花苑,61
江干区三义锦唐苑,85
下沙区中豪七格,63
江干区克拉公馆,54
下城区骆驼桥东河下,84
下城区柳营巷,38
滨江区盛元慧谷,60
西湖区九莲新村,10
滨江区江虹小区,72
拱墅区五一新村,26
西湖区紫郡东苑,56
上城区过军桥河下,54
滨江区滨江宝龙城市广场,62
西湖区莫干山路605号,36
下城区胭脂新村,26
拱墅区荣华里,41
上城区东太平巷,45
下沙区裕园公寓,72
西湖区求智弄,24
西湖区王家弄,24
上城区浣纱路,32
西湖区天目山路118号,24
拱墅区盛德嘉苑,31
江干区三里家园三区,44
西湖区金成花园,34
西湖区桂花城,31
拱墅区沈塘铭苑,35
上城区海月金棕榈,61
萧山区港汇中心,67
拱墅区芳满庭,41
下城区孝丰路,32
上城区美政花苑,64
江干区丁桥颐景园,79
江干区魅力之城,88
江干区东润枫华,50
上城区佑圣观路,47
江干区景芳新五区,46
西湖区恒升花苑,16
上城区水门南弄,52
上城区钱塘印象,74
西湖区下宁巷,20
拱墅区都景公寓,32
西湖区西溪河滨之城,62
上城区袁井巷,58
江干区多立方公寓,90
西湖区翠苑三区,31
上城区向阳新村,35
西湖区朗郡庭园,75
拱墅区双荡新村,32
拱墅区御星公寓,71
上城区候潮公寓,59
上城区北落马营,55
滨江区温馨人家,64
萧山区湘湖人家,106
下城区东园,32
上城区大学路新村,31
西湖区上宁新村,17
上城区丰家兜,39
滨江区滨文苑,70
江干区东城印象,43
下沙区阳光华城,83
江干区地铁绿城杨柳郡,58
江干区御品湾,57
西湖区中兴公寓,36
滨江区迎春小区,74
江干区农业厅第三住宅区,41
江干区浅草名苑,56
拱墅区田园牧歌麓云苑,59
滨江区临江花园,71
江干区景芳三区,48
江干区和谐嘉园,53
上城区大塔儿巷,40
西湖区天目山路28号,11
上城区望江家园东园,65
西湖区青芝坞,40
下城区豆腐里,24
西湖区春天花园,27
下城区戒坛寺巷,27
下城区春丰苑,39
拱墅区水韵康桥康锦苑,71
萧山区摩卡商务馆,99
余杭区风景晨园,81
下城区石匠弄,39
江干区新安铭苑,37
拱墅区拱宸新苑,44
西湖区世贸丽晶城,5
余杭区海派风景,67
西湖区世纪新城,25
上城区近江三园,69
余杭区西溪金座,40
江干区三里亭苑一区,41
西湖区沁雅花园,27
西湖区沈塘新村,24
江干区天城府,52
下城区现代中心,40
下城区湖滨阁,32
西湖区文苑小区,35
江干区花盛郦城,70
西湖区富丽苑,24
下沙区元成时代中心,86
江干区东望,57
上城区西湖大道,43
拱墅区宜家时代大厦,46
拱墅区董家弄,25
滨江区白马湖小区,98
西湖区之江九里,67
西湖区之江泰景大厦,93
拱墅区新月公寓,23
滨江区湖漫雅筑,98
余杭区盛德国际,67
下城区体育场路128号,28
西湖区康乐香港城,28
下城区河东路,37
江干区观音塘小区,34
拱墅区杭印路,46
余杭区瑷颐湾,62
西湖区翠苑东二区,26
萧山区中栋国际,100
西湖区西溪诚园,48
拱墅区银树湾,50
上城区龙华巷,37
江干区原筑壹号,63
拱墅区三宝新村,26
上城区信余里,45
下城区艮园,49
西湖区瑞博国际,36
拱墅区莫干山路94号,27
拱墅区远大花园,33
拱墅区新华园,29
萧山区江南铭楼,84
下城区十一景名邸,30
拱墅区和睦路128号,33
江干区南肖埠小区,41
上城区尚农里,35
滨江区水印城,64
余杭区荷裕庭,94
上城区中山苑,44
拱墅区左岸花园,50
余杭区璞玉雅园,66
拱墅区北大桥,29
余杭区水景城,102
拱墅区嘉兴东路公寓,44
西湖区金田花园,33
下城区德胜新村南,44
拱墅区百大花园,22
拱墅区长乐南苑,35
滨江区东方花城,58
余杭区小城之春,80
西湖区白荡海人家,32
拱墅区香槟之约,69
江干区新城时代广场,94
拱墅区易构大厦,68
西湖区弥陀寺路,30
下城区三塘桃园,38
拱墅区吉兴公寓,28
上城区郡亭公寓,63
西湖区白马尊邸,51
下城区东方豪园,33
江干区盛世钱塘花园,56
下沙区梦琴湾佳苑,87
拱墅区杭钢南苑,47
拱墅区和睦南苑,36
拱墅区三官弄,25
拱墅区假山新村,33
下城区中大广场,30
上城区下羊线弄,43
滨江区浙新小区,73
拱墅区定海东园,52
江干区闸弄口东村,49
滨江区铂金时代,68
西湖区美上商业中心,101
滨江区现代印象广场,69
下沙区保利东湾,88
西湖区香樟公寓,26
滨江区金龙.钱江ＭＯＨＯ,78
拱墅区大浒东苑,37
余杭区西溪融庄,62
滨江区春江郦城,69
下城区体育场路55号,48
上城区柳浪新苑,54
江干区蓝桥名苑,57
西湖区莫干山路515号,35
江干区阳光逸城,83
上城区万松岭路,55
西湖区湖畔莲花港,37
西湖区庆丰新村,20
江干区紫晶时代公寓,45
上城区十亩田家园,61
拱墅区渡驾新村,70
余杭区祺寓,85
滨江区长河商厦,99
拱墅区锦绣新村,26
上城区望江府,65
拱墅区一清新村,35
滨江区银爵世纪公寓,70
江干区世茂天宸,43
下城区漾河公寓,62
江干区双菱新村,43
拱墅区湖墅嘉园,27
西湖区天河西苑,27
滨江区水晶城,59
余杭区赛银国际,49
上城区华府花园,56
滨江区江南商业大厦,69
西湖区丁香公寓,11
江干区钱江国际时代广场,41
江干区九润公寓,92
拱墅区戴陈弄,39
下城区三华园,34
江干区天运小区,41
拱墅区娑婆新村,31
拱墅区阅城新座,69
滨江区锦绣江南,71
上城区平海公寓,35
滨江区积家,66
余杭区昌源清苑,50
江干区凯旋新村,52
江干区京惠花园,85
西湖区今日嘉园,27
萧山区丰东花苑,72
西湖区花园南村,18
拱墅区云河大厦,36
拱墅区西岸花园,48
上城区清泰南苑,40
上城区定安路,38
拱墅区大浒西苑,37
下城区豆腐巷,40
下城区马家弄,26
拱墅区庆隆苑,29
西湖区中融城市花园,14
江干区丁桥兰苑,81
拱墅区香榭里,62
拱墅区红石公寓,26
下城区江山弄,36
下城区武林外滩,29
下沙区泰美国际大厦,72
滨江区钱塘山水湾,84
上城区邮电路,30
江干区明珠1号,69
下城区体育场路142号,47
拱墅区永宁坊,46
拱墅区吉庆院,37
滨江区铂金名筑,78
下城区万家星城,49
拱墅区尚品庭院,42
下城区华润西子中心,30
上城区林风花园,69
西湖区爱尚里,61
西湖区桃源春居,34
西湖区天虹公寓,48
西湖区紫金小区,30
滨江区茂御居,73
下城区体育场路168号,48
下城区环东公寓,43
西湖区天目山路22号,29
下沙区华元十六街区,80
滨江区江南文苑,70
滨江区逸天广场,80
拱墅区运河人家,43
江干区远洋心里,84
江干区钱江六苑,97
江干区风林公寓,57
江干区洁莲小区,48
西湖区跑马场路,13
上城区建国南苑,51
西湖区曙光路东,19
下城区三塘竹苑,42
滨江区太阳国际,78
滨江区东冠路,79
西湖区康乐新村,26
下沙区天福财智大厦,63
西湖区华苑公寓,40
下城区东河锦园,30
余杭区华立和郡,98
下城区现代名苑,38
余杭区昌运里,67
下沙区保利湾天地,87
余杭区盛世嘉园,58
下城区重机宿舍,49
西湖区嘉绿北苑,24
西湖区梅苑阁,36
西湖区翠苑一区,18
上城区景江城市花园,60
余杭区东湖公寓,103
拱墅区墨香苑,27
拱墅区阳光郡,47
江干区昆湖玺之湾,63
江干区清江路,47
余杭区锦云坊,95
下城区永康苑,84
上城区宋浇造巷,38
余杭区闲林山水,60
萧山区江南摩卡,92
余杭区万家名城,65
西湖区曙光新村,19
西湖区保俶路,35
下城区潮王人家,34
西湖区西城纪,40
上城区滨江家园,59
西湖区金地自在城,52
余杭区星汇悦城,65
下城区朝晖七区,31
江干区建电新村,47
江干区秋涛雅苑,40
西湖区统计局宿舍,13
西湖区外东山弄,24
萧山区萧山宝龙城市广场,78
西湖区之江诚品公寓,99
西湖区丹枫新村,32
上城区云雀苑,52
江干区圆梦园,66
滨江区之江花园,75
拱墅区大关西六苑,32
下沙区大都文苑风情,80
滨江区贺田尚城,90
滨江区星耀城公寓,58
江干区铁路花圃新村,41
西湖区保俶北路,17
滨江区风雅钱塘世纪花园,63
拱墅区远洋国际金座,29
下城区景洲公寓,66
下城区灯芯巷,28
余杭区西溪华东园,55
滨江区旭江华庭,64
江干区景芳一区,46
上城区望江新园一园,69
上城区茶啾弄,64
江干区金秋花园,88
上城区城隍牌楼,56
滨江区金盛曼城,85
上城区染坊弄,35
西湖区紫郡西苑,58
江干区庆春苑,46
上城区后市街,44
下城区体育场路260号,35
江干区笕东嘉苑,69
上城区复兴城市家园,68
下沙区景冉佳园,96
萧山区霞飞郡,88
西湖区翠苑四区,28
江干区三里亭苑二区,44
西湖区文二路48号,25
拱墅区锦昌文华苑,37
西湖区中海金溪园,44
西湖区文三新村,19
下城区三塘高层公寓,40
江干区普福家园,75
西湖区天鹅堡,34
下沙区铭都雅苑,73
滨江区滨康二苑,83
上城区木材新村,65
上城区鸥江公寓,57
下城区三塘北村,37
余杭区西溪君庐,56
上城区南光坊,52
拱墅区古新路,31
萧山区佳丰南苑,78
拱墅区大关南八苑,35
下城区长庆街,38
西湖区曙光路西,16
西湖区物华小康居住区,38
下城区工人新村,43
拱墅区大关东三苑,33
西湖区西苑小区,36
拱墅区方正荷塘月色,61
滨江区新州花苑,65
下城区仙林苑,37
江干区蓝天城市花园,33
下城区黎明园,30
拱墅区美达北城天地,55
西湖区西港发展中心,66
拱墅区融信蓝孔雀,42
萧山区江南明城,67
西湖区政苑小区,40
下城区打铁关新村,33
滨江区视界之窗,71
西湖区河缸桥,39
萧山区阳光城上府,70
下城区德胜新村,47
上城区解放路,44
上城区日信国际,67
西湖区马塍路32号,25
下城区观巷,37
江干区三里亭苑四区,42
上城区江城路南,61
下城区北景莲趣苑,68
西湖区秋水苑,27
江干区长睦邻里人家,85
西湖区教工路65号,9
拱墅区视界轩,54
西湖区丹桂公寓,28
滨江区东和时代,88
下城区新德佳苑,54
下城区星都嘉苑,39
江干区水岸帝景,55
上城区文华苑,55
下城区富润里,30
上城区秋涛南苑,62
下城区东新府,52
拱墅区孔雀蓝轩,41
拱墅区美林湾城市公寓,40
拱墅区浅水湾城市花园,30
上城区虎玉路29号,73
西湖区翠苑二区,23
余杭区南苑毓秀家园,105
江干区翡丽湾,68
江干区宋都时间国际,64
滨江区滨兴家园,73
萧山区博奥城,75
西湖区影业路,10
下城区水星阁,35
江干区融城印象,88
江干区三里新城梅苑,38
江干区晓庐,51
拱墅区金茂悦,36
拱墅区水韵康桥康泽苑,68
余杭区爵士风情,63
江干区新江花园,56
滨江区大同公寓,93
西湖区高教新村,35
江干区东华苑,50
江干区青荷苑,38
萧山区江南国际城,74
萧山区海杰德大厦,68
江干区芙蓉小区,58
江干区濮家新村,40
余杭区蓝郡华庭,47
拱墅区庆云居,30
上城区镇东楼,56
西湖区金都花园,30
西湖区信鸿花园,50
下城区北景月桂苑,46
江干区钱塘航空大厦,46
江干区罗兰春天,89
下城区三塘汶苑,38
下城区十五家园,36
西湖区和家园,42
上城区新城坊,56
下城区裕达大厦,55
上城区世纪坊,60
江干区新城国际花园,53
下城区潮鸣苑,29
西湖区莲花新村,31
西湖区中海紫藤苑,55
萧山区春江悦茗公寓,78
江干区蓝天公寓,37
下城区现代之窗,40
滨江区春波西苑,81
余杭区新远金座公寓,93
萧山区相墅花园,106
上城区联珠里,46
下沙区杭州东部国际商务中心,75
余杭区西溪润景,62
下城区御跸苑,27
西湖区中大文锦苑,19
西湖区天阳云筑,102
下城区西文南苑,51
西湖区翠苑五区,26
余杭区阳光绿色雅苑,82
上城区锅子弄,41
滨江区中央花城,70
拱墅区塘河新村,22
西湖区嘉绿南苑,31
拱墅区登云阁,43
滨江区钱塘春晓大厦,58
下城区朝晖二区,29
江干区昆仑天籁园,69
江干区联合麦田,43
余杭区径香苑,74
滨江区长虹苑,84
西湖区友谊新村,20
江干区丽江公寓,61
上城区钱塘名都,54
