,total_time
西湖区窑背巷,54
西湖区玖珑山,117
下城区五里塘苑,34
上城区婺江家园,58
江干区新城时代广场,53
拱墅区运河天悦府,50
上城区水门南弄,73
西湖区邮电新村,45
西湖区弥陀寺路,62
江干区景芳五区,48
上城区蓝色钱江,78
西湖区剑桥公社,65
江干区丁桥家苑,58
拱墅区永庆坊,44
下城区稻香园北区,40
江干区双菱新村,52
上城区蕙宜村,54
余杭区闲湖城,98
拱墅区大关东五苑,35
上城区小河下,57
下城区三塘樱园,8
滨江区江虹小区,96
萧山区戈雅公寓,107
萧山区金域三江,110
上城区南光坊,67
余杭区祺寓,90
拱墅区双荡新村,35
江干区罗兰香谷,78
余杭区临平桂花城北区,70
拱墅区一清新村,37
滨江区滨江宝龙城市广场,92
下城区灯芯巷,51
西湖区古荡新村东区,48
上城区紫金观巷,61
西湖区文三路559号,52
上城区水岸城市花园,49
西湖区恒升花苑,46
下城区宝善公寓,44
上城区四牌楼,64
上城区保安桥河下,66
拱墅区新安天苑,40
余杭区百家乐西园,94
江干区金雅苑,76
滨江区钱塘帝景,91
拱墅区哑巴弄,40
滨江区云台国际商务中心,93
下城区杭氧宿舍,25
西湖区五洲国际广场,65
上城区民安苑,78
上城区后市街,65
拱墅区中国铁建国际城,46
拱墅区香槟之约,67
余杭区浪漫和山,102
下城区新华坊,49
江干区克拉公馆,41
西湖区丰盛九玺,80
滨江区铂金时代,72
余杭区昌源清苑,93
西湖区桂花城,52
西湖区中融城市花园,58
拱墅区保利香槟国际,57
拱墅区信义坊,41
上城区江枫苑,81
滨江区江南商业大厦,96
拱墅区九龙仓碧玺,46
滨江区恒鼎博邑郡,97
上城区黄公厂弄,67
上城区金隅学府,69
江干区宋都时间国际,51
西湖区紫金西苑,94
西湖区金地自在城,88
西湖区城市芯宇公寓,44
拱墅区墨香苑,40
江干区圣奥领寓,74
上城区钱江时代公寓,65
上城区江城路南,70
拱墅区美林湾城市公寓,70
下城区锦园,48
江干区铁路花圃新村,51
江干区蓝天公寓,45
余杭区风景晨园,84
西湖区翠苑二区,50
下城区中大银泰城,35
下城区现代景苑,33
下城区小北门,45
下城区艮山上,43
江干区水岸帝景,72
拱墅区水韵康桥康锦苑,67
拱墅区庆云居,59
下沙区金隅金座,107
萧山区博奥城,85
萧山区泊林春天,79
余杭区远大金地中心,67
上城区勤远里,64
拱墅区锦绣文澜阁,39
江干区罗兰春天,80
下沙区宝龙城市广场,80
下城区泰和苑,43
江干区白石嘉苑,57
拱墅区美达北城天地,41
上城区上水陆寺巷,72
余杭区星火小区,93
下城区三塘竹苑,12
江干区农业厅第三住宅区,50
滨江区旭江华庭,76
西湖区翠苑三区,50
西湖区丁香公寓,54
余杭区华元美林公馆,85
西湖区嘉绿西苑,48
西湖区天目山路28号,55
上城区劳动路,62
下沙区东郡国际,110
余杭区铭雅苑,71
上城区惠民路,68
西湖区文二路44号,40
江干区万象城,72
拱墅区湖墅嘉园,39
西湖区西城纪,62
江干区魅力之城,77
下沙区四季风景苑,88
江干区三里新城竹苑,44
滨江区观邸国际寓所,113
拱墅区金茂悦,67
上城区近江三园,68
下城区漾河公寓,20
上城区老浙大直路,50
拱墅区桃源新区,38
上城区大王庙巷,56
江干区机神新村,42
滨江区白金海岸花园,91
西湖区富丽苑,50
滨江区悦晟国际金融大厦,76
拱墅区大关西八苑,31
江干区景芳二区,44
拱墅区名城燕园,57
下城区万家星城,38
江干区景芳东区,66
下城区都市枫林,38
江干区三里家园三区,38
江干区采荷一区,52
拱墅区富越香郡,44
上城区望江新园一园,63
上城区大塔儿巷,64
西湖区教工路131号,38
拱墅区清水公寓,36
滨江区风情苑,94
下城区凤起苑,46
下沙区和达城,79
下城区环城西路18号,53
拱墅区浅水湾城市花园,39
西湖区申瑞国际,61
拱墅区水韵康桥康泽苑,64
西湖区文三路,51
滨江区湖漫雅筑,104
西湖区建工新村,39
拱墅区大浒西苑,42
下沙区之江铭楼,90
萧山区湘湖人家,116
滨江区璞悦湾,115
拱墅区宜家时代大厦,48
下城区茶叶弄,48
下城区景洲公寓,45
江干区风林公寓,73
滨江区盛元慧谷,90
上城区向阳新村,57
滨江区云厦连园,75
下城区潮鸣苑,49
下城区国都公寓,49
余杭区金都雅苑,95
江干区梧桐语,70
下城区体育场路128号,42
西湖区上宁新村,49
拱墅区蔡马人家,36
拱墅区勤丰小区,53
下沙区西子阳光星城,97
下城区香源公寓,28
西湖区国风美域,67
上城区未央村,57
西湖区信鸿花园,69
西湖区南都花园,55
西湖区莫干山路515号,39
江干区三里新城荷苑,52
上城区金隆花园,53
江干区宋都阳光国际花园,77
拱墅区吉祥半岛,51
西湖区西溪里二期,81
西湖区黄龙公寓,53
拱墅区运河人家,50
余杭区金地广场,74
江干区丽江公寓,81
余杭区小城之春,98
拱墅区富越香郡盈座,44
滨江区龙禧大酒店,102
西湖区兰韵天城,69
江干区左邻右舍公寓,83
江干区恒祺商务中心,47
余杭区临平红枫苑,97
余杭区拱宸,70
拱墅区五一新村,37
西湖区中大文锦苑,46
余杭区闲林山水,101
西湖区恩济花苑,49
下城区北上新城,48
余杭区瑷颐湾,68
下城区流水北苑,35
余杭区雅居乐国际花园,105
下城区六塘公寓,13
上城区近江九园,60
余杭区西溪君庐,96
下沙区华元十六街区,83
下沙区元成时代中心,86
江干区景苑公寓,49
西湖区康乐香港城,50
下城区东园,45
滨江区浙新小区,100
上城区宋浇造巷,56
拱墅区北大桥,41
上城区永宁院,60
下城区西文东苑,34
下城区北景月桂苑,36
下城区金鹿雅苑,51
滨江区滨文苑,100
江干区天运小区,46
江干区远洋心里,63
拱墅区远洋国际金座,34
余杭区西溪铭座,78
上城区虎玉路29号,83
拱墅区明真宫,37
上城区凤凰新村,73
西湖区金穗公寓,72
滨江区金盛曼城,97
江干区广茵大厦,52
拱墅区都景公寓,42
江干区紫晶时代公寓,51
江干区凯旋新村,49
江干区三里亭苑二区,41
下沙区保利东湾,110
滨江区钱塘春晓大厦,75
上城区太和广场,76
上城区乌龙巷,60
滨江区钱塘山水湾,109
拱墅区古新路,41
滨江区逸天广场,105
拱墅区大关南九苑,28
下城区朝晖三区,34
下城区豆腐里,44
萧山区摩卡商务馆,109
滨江区积家,96
下沙区盛泰名都中心,99
西湖区金成花园,50
江干区景芳三区,49
江干区华家池,49
拱墅区庆隆苑,61
下城区天安假日,48
余杭区欧美金融城,96
江干区三义锦唐苑,73
西湖区郡枫华庭,46
拱墅区吉如家园,47
上城区燕子弄,50
下城区田逸之星,45
下城区马家弄,47
江干区怡静坊,56
余杭区余之城余庭,79
江干区钱江华府,73
江干区水湘苑,63
萧山区萧山宝龙城市广场,89
余杭区盛世嘉园,102
西湖区皇朝城市花园,60
西湖区雅仕苑,53
萧山区海杰德大厦,75
拱墅区锦绣兰庭,43
下沙区江语海,100
拱墅区孔雀蓝轩,57
拱墅区丽晶湾,66
拱墅区莫干山路94号,47
拱墅区星桥锦绣嘉苑,65
江干区同协雅苑,53
下城区德胜东村,28
滨江区缤纷小区,78
江干区丁桥颐景园,56
上城区尚农里,66
上城区山南人家,78
上城区景江城市花园,73
下城区麒麟街,48
江干区南肖埠小区,50
江干区中豪四季公馆,57
拱墅区远大花园,40
江干区青莼小区,48
江干区闸弄口新苑,49
萧山区阳光城上府,86
滨江区春波西苑,96
下城区青春坊,59
江干区丁桥后珠美邻嘉苑,63
江干区杰立大厦,56
拱墅区定海西园,45
下城区社坛苑,49
下城区御跸苑,46
下城区东清大厦,52
下沙区文汇苑,100
上城区民生路,63
滨江区江锦国际,93
下城区柳营巷,61
萧山区金地天逸,86
江干区清江路,52
拱墅区湖墅南路,39
上城区下华光巷,59
下城区元都新苑,48
下城区十一景名邸,51
滨江区龙禧硅谷酒店广场,93
西湖区友谊新村,61
西湖区石灰桥新村,36
下沙区宋都晨光国际,90
西湖区白荡海社区,39
滨江区东方郡,75
滨江区中央花城,70
萧山区嘉润公馆,88
江干区闸弄口铁路宿舍,50
下城区狮虎桥河下,46
下城区平凡里公寓,40
拱墅区锦文雅苑,49
下城区潮王人家,34
余杭区东冠逸景花苑,106
余杭区风雅乐府,70
西湖区外东山弄,54
下城区直戒坛寺巷,48
下沙区大都文苑风情,83
滨江区冠山小区,107
滨江区湘云雅苑,92
滨江区现代印象广场,90
滨江区临江花园,93
江干区笕桥花苑,56
西湖区紫郡西苑,83
江干区普福家园,68
江干区三里家园二区,40
拱墅区莫干山路46号,46
拱墅区雍荣华庭,66
余杭区康城国际,65
上城区丰家兜,56
滨江区长岛之春,105
江干区凯林巷,49
下城区长庆街,60
西湖区天目山路338号,56
西湖区翠苑五区,47
西湖区天苑花园,49
下城区云龙公寓,45
下沙区泰美国际大厦,79
西湖区颐景园,54
余杭区西溪盛悦居,84
下城区环东公寓,40
拱墅区和睦新村,45
上城区横河新村,46
拱墅区和睦院,46
西湖区政苑小区,58
下城区流水东苑,37
上城区钱塘印象,72
江干区东茂苑,49
下城区长德公寓,20
滨江区温馨人家,72
余杭区朗悦居,166
拱墅区易构大厦,48
上城区城隍牌楼,62
上城区镇东楼,62
下城区天水巷,45
余杭区蒙卡岸,82
西湖区温州村,67
上城区世纪坊,69
西湖区金都花园,52
西湖区西溪诚园,77
西湖区桃园新村,66
上城区十三湾巷,67
拱墅区左岸花园,47
拱墅区永宁坊,35
上城区华藏寺巷,51
下城区中大广场,47
江干区联合麦田,45
西湖区紫金港湾,74
上城区候潮公寓,79
下沙区德信早城,60
西湖区秋水苑,55
江干区世茂天宸,53
拱墅区大关南七苑,32
西湖区影业路,50
下沙区蓝湖国际,86
西湖区金成嘉南公寓,64
滨江区迎春小区,76
余杭区北宸之光,71
西湖区雅戈尔御西湖,47
西湖区春天花园,54
下城区朝晖一区,41
余杭区西溪华东园,87
西湖区庆丰新村,59
余杭区海派风景,73
上城区华府花园,72
西湖区丽阳苑,61
余杭区大美公寓,68
江干区金牛坊,48
江干区天成嘉苑,48
拱墅区名城公馆,56
拱墅区西城时代,58
西湖区松木场河西,60
西湖区梅苑阁,40
滨江区银爵世纪公寓,97
下城区三塘桃园,10
西湖区西溪路505号,77
西湖区香樟公寓,48
下城区德胜新村南,24
余杭区阳光绿色雅苑,100
下城区环北新村,43
西湖区浙大玉古路,57
拱墅区阅城新座,60
拱墅区御田清庭,65
下城区玄坛弄,47
西湖区绿城之江一号,94
拱墅区融信蓝孔雀,61
拱墅区西岸花园,46
下城区河东路,34
江干区采荷人家,56
西湖区华立星洲花园,60
余杭区盛德国际,66
上城区鉴衡里,61
江干区九月庭院,81
拱墅区世纪新筑,42
江干区圆梦园,72
下城区德胜上郡华庭,47
西湖区河缸桥,46
西湖区曙光路西,50
萧山区东方海岸,111
萧山区云涛名苑,115
下城区观巷,51
江干区晓庐,71
下城区东方豪园,34
西湖区翠苑东二区,53
下城区朝晖九区,34
上城区万松岭路,59
下城区三塘北村,14
西湖区王家弄,62
滨江区之江花园,95
上城区望江新园三园,66
下城区东河锦园,50
拱墅区三宝新村,39
下城区工人新村,40
西湖区文二路48号,46
西湖区金田花园,57
上城区马坡巷,50
西湖区金色蓝庭,49
上城区平安里,67
滨江区印月尚庭,71
上城区清吟街,60
萧山区江南铭楼,95
拱墅区正兴堂弄,42
拱墅区维元弄,37
下城区体育场路260号,49
下沙区金沙学府,87
拱墅区董家弄,40
拱墅区新青年广场,32
上城区日信国际,61
上城区欢乐巷,60
滨江区中兴花园百合苑,82
上城区郡亭公寓,69
西湖区天目山路118号,55
上城区皮市巷,61
萧山区佳丰南苑,80
滨江区钱塘星宇大厦,96
西湖区瑞博国际,65
拱墅区和睦路128号,44
上城区联珠里,54
江干区三里亭苑四区,42
下城区石桥路,44
江干区商教苑,60
西湖区西荡苑,53
拱墅区大关西七苑,31
上城区中山苑,66
西湖区沁雅花园,53
下沙区智格新怡家园,83
西湖区同人广场,58
萧山区三江花园,108
上城区城南家园,72
上城区复兴北苑,67
西湖区之江九里,87
西湖区天阳云筑,107
拱墅区戴陈弄,50
下城区领骏世界,42
下城区善贤人家,16
余杭区南苑毓秀家园,72
上城区马市街,60
上城区清泰南苑,57
下城区朝晖六区,39
下城区三塘高层公寓,9
拱墅区景致公寓,56
拱墅区湖墅新村,35
西湖区云溪印象,89
西湖区同人精华,63
余杭区圆乡名筑,114
滨江区浦沿公寓,116
上城区海运国际,77
拱墅区渡驾新村,49
西湖区政新花园,55
萧山区江南摩卡,97
上城区浣纱路,63
西湖区沈塘新村,46
余杭区缔逸城,77
下城区北景竹邻苑,42
西湖区西城年华公寓,59
江干区凯旋门,51
余杭区合景叠彩园,99
上城区长生路,54
滨江区水印城,88
拱墅区广兴新村,48
拱墅区大塘新村,41
上城区环城东路,50
下城区西文南苑,26
下城区朝晖新城,38
下沙区百盛苑,56
下城区现代雅苑,32
下城区文晖园,39
上城区秋涛南苑,69
拱墅区和新南苑,49
滨江区半岛国际,87
上城区十五奎巷,61
上城区复兴城市家园,84
上城区竹竿巷,58
上城区上八界巷,58
上城区南星公寓,80
上城区万新大厦,56
拱墅区大关东一苑,28
西湖区文溪鼎园,58
江干区天阳晴朗,64
西湖区松木场河东,64
西湖区曙光路27号,63
余杭区瑜翠公寓,103
滨江区东方花城,74
拱墅区塘河新村,36
上城区光复路,60
江干区悦府,75
下城区仙林福座,58
西湖区西溪锋尚苑,63
余杭区西溪蓝海,98
上城区染坊弄,64
下城区现代之窗,33
滨江区钱塘福苑,133
下城区长兴公寓,18
西湖区文三新村,46
下城区流水西苑,42
拱墅区新华园,45
下城区方圆府,21
下城区春丰苑,47
下城区武林桥河下,44
余杭区竹海水韵,101
西湖区紫金名门,97
西湖区冠苑,65
西湖区莫干山路493号,41
西湖区翠苑一区,42
下城区木庵小区,47
拱墅区盛德嘉苑,32
拱墅区绍兴新村,40
西湖区湖畔花园,57
拱墅区仓基新村,38
江干区红郡御庄,83
江干区丁桥兰苑,57
上城区吴山人家,62
西湖区马塍路32号,44
滨江区钱塘春晓花园,69
上城区望江府,65
滨江区西兴路178号,101
江干区蓝桥名苑,74
滨江区钱塘玫瑰湾,106
下城区杭州新天地公寓,36
拱墅区尚堂府,57
下城区九龙仓君玺,39
余杭区西溪悦城,84
江干区笕东嘉苑,45
上城区皇城花苑,64
江干区相江公寓,77
西湖区之江家园五区,103
下城区永康苑,40
拱墅区宝嘉誉峰,62
上城区林风花园,69
下城区嘉汇大厦,39
西湖区金都新城,46
上城区尚筑金座,56
下城区皇亲苑,47
江干区青荷苑,52
江干区红菱小区,50
萧山区港汇中心,79
上城区大学路新村,49
西湖区嘉绿景苑,56
萧山区江南明城,78
江干区雍泽府,66
江干区东祥元府,62
西湖区湖畔莲花港,53
上城区钱塘雅苑,76
西湖区西港发展中心,90
江干区花盛郦城,50
西湖区保俶北路,41
上城区邮电路,58
下沙区财通中心,77
下城区元都新景公寓,50
西湖区世贸丽晶城,48
下城区莫衙营,42
江干区新和嘉苑,46
西湖区莫干山路605号,42
下城区绿城兰园,39
江干区三里新城梅苑,45
滨江区东冠路,109
西湖区华门自由21世纪,40
江干区闸弄口东村,48
西湖区篁外山庄,117
西湖区山水人家,54
上城区通江高层,64
拱墅区大关南五苑,33
萧山区美哉美城,86
拱墅区城市风景,41
下城区小和弄,49
萧山区东方壹号公寓,90
滨江区大同公寓,123
余杭区蓝郡华庭,71
拱墅区袁家新苑,46
余杭区新远金座公寓,71
下城区仙林苑,56
江干区玉荷小区,45
拱墅区银都大厦,35
拱墅区普金家园,43
下城区豆腐巷,54
上城区东太平巷,62
西湖区西溪华府,88
上城区木材新村,67
江干区钱江六苑,60
萧山区御景蓝湾,123
下城区龙兴桥河下,50
下沙区水岚佳苑,69
上城区孝子坊,62
下城区东清巷,51
西湖区之江新天地,104
滨江区星耀城公寓,75
下沙区铭都雅苑,82
拱墅区杭印路,54
余杭区河畔新村,65
江干区观音塘小区,51
滨江区长河商厦,103
余杭区瑞麒时代,75
下城区建国公寓,46
下城区白泽弄,56
余杭区西溪融庄,88
下沙区海天城,89
下城区骆驼桥东河下,42
滨江区世茂智慧之门,90
拱墅区七古登教委宿舍,41
余杭区亲亲家园三期,76
西湖区今日嘉园,41
余杭区天峻公寓,99
拱墅区董家新村,37
江干区明石商业大厦,48
上城区佑圣观路,60
下城区三华园,52
拱墅区假山新村,34
拱墅区红石公寓,36
下城区施家花园,38
下城区北景莲趣苑,44
滨江区滨康二苑,99
西湖区白马尊邸,89
江干区三里亭苑三区,45
江干区芙蓉小区,54
拱墅区登云阁,48
拱墅区吉庆院,41
西湖区世纪新城,47
上城区凤山新村,78
江干区融城印象,63
下城区混堂桥,46
下城区漾河人家,23
上城区森仁里,61
上城区婺江家园一园,59
西湖区青芝坞,70
西湖区康乐新村,48
西湖区三墩新天地,88
西湖区华苑公寓,58
下城区建德村,43
西湖区翠锦园,52
上城区永丰巷,57
上城区近江苑,55
拱墅区水韵康桥康盛苑,67
江干区御道江河汇流公寓,73
上城区天福花园,69
下城区小庙巷,50
江干区北景东苑,45
江干区天城国际,43
西湖区胜利新村,51
拱墅区尚品庭院,46
拱墅区大关东三苑,27
萧山区中栋国际,88
滨江区星光国际,78
拱墅区阳光郡,64
拱墅区大关西六苑,35
下城区中山北园,40
江干区钱江国际时代广场,64
江干区明珠1号,59
上城区南班巷,54
江干区昆盛肖邦,57
上城区西湖大道,55
江干区景芳新五区,64
江干区建电新村,50
下城区新德佳苑,35
滨江区视界之窗,77
上城区海月花园,75
拱墅区莫干新村,38
滨江区江南文苑,100
下城区戒坛寺巷,46
拱墅区塘河北村,38
滨江区风雅钱塘世纪花园,79
余杭区水景城,60
下城区体育场路168号,47
上城区大学路,53
滨江区康康谷,77
拱墅区大关南八苑,30
拱墅区东方福邸,58
西湖区黄龙世纪苑,53
滨江区春江郦城,86
上城区开元路,63
滨江区玲珑府,98
下城区华润西子中心,47
拱墅区杭钢北苑,43
江干区盛世钱塘花园,75
滨江区龙湖春江彼岸,73
西湖区保俶路,54
下城区石匠弄,57
江干区同方国际大厦,49
西湖区府苑新村,57
下城区绿洲花园,38
拱墅区拱宸新苑,40
滨江区白马湖小区,118
上城区六和源,80
西湖区教工路65号,47
下城区艮园,44
西湖区华立金顶苑,38
上城区长庆里,55
余杭区赛银国际,93
西湖区嘉绿北苑,45
上城区云雀苑,73
滨江区缤纷东苑,73
下城区兴和公寓,46
拱墅区胜月院,46
余杭区荷裕庭,86
拱墅区三官弄,39
上城区金色城品,59
滨江区世茂之西湖,95
余杭区西溪之星公寓,97
江干区采荷东区,51
上城区延定巷,56
余杭区嘉桂轩,101
江干区鑫运时代金座,61
江干区昆仑天籁园,64
下城区孝丰路,49
滨江区锦绣江南,85
萧山区顺发恒园,93
江干区晓时代公寓,68
西湖区文二新村,41
滨江区水晶湾城市雅苑,78
西湖区天目山路22号,49
江干区天城府,34
萧山区世纪晶钻,86
江干区后珠辰秀嘉园,66
下沙区保利湾天地,106
西湖区之江泰景大厦,113
上城区龙华巷,60
上城区耀江福村,61
江干区和谐嘉园,66
江干区秋涛雅苑,45
下城区横燕子弄,52
西湖区曙光路东,49
下城区天赐苑,42
西湖区曙光新村,49
西湖区天虹公寓,78
下沙区荣辉商业中心,60
下沙区天福财智大厦,54
滨江区汉峰峰公馆公寓,97
下城区裕达大厦,42
下沙区清雅苑,75
拱墅区大浒东苑,42
下城区树园,45
上城区积善坊巷,60
江干区三里亭苑一区,42
下城区思敬里,50
余杭区西田公馆,64
西湖区融科瑷骊山,109
上城区过军桥河下,66
余杭区东厦东港花苑,82
西湖区马塍路35号,42
下城区施家桥,37
上城区新工新村,69
上城区小营民居,57
上城区海月金棕榈,77
上城区近江八园,62
江干区钱塘沁园,50
滨江区长虹苑,88
江干区北景西苑,49
江干区庆春苑,49
拱墅区永安坊,35
下城区西子铭苑,46
上城区凤凰山脚路,83
拱墅区北海公园,63
滨江区兴耀鑫都汇,79
拱墅区萍实公寓,53
下城区金禾嘉苑,45
下城区灯塔豪园,11
江干区新江花园,73
下城区体育场路55号,46
余杭区逸境公寓,96
滨江区风尚蓝湾,107
江干区远洋香奈,58
下城区京都苑,39
西湖区紫郡东苑,85
上城区白塔人家,82
江干区浙商国际中心,52
下城区双牛大厦,46
下沙区中豪七格,83
下沙区阳光华城,85
拱墅区长乐北苑,37
西湖区留庄,92
下城区新华路,52
上城区直吉祥巷,64
江干区闸弄口新村,50
下城区水印康庭,19
拱墅区塘河南村,39
江干区御品湾,69
拱墅区万通中心公寓,34
下城区三塘汶苑,20
西湖区德雅公寓,38
上城区万安城市花园西苑,54
滨江区东和时代,92
萧山区相墅花园,104
下城区林司后,57
下城区朝晖二区,42
下沙区中外公寓,62
江干区浅草名苑,56
西湖区嘉绿青苑,49
下城区体育场路70号,45
下沙区世茂广场,88
江干区静怡花园,49
江干区向江来时代中心,72
西湖区紫金府,64
上城区建国南苑,61
拱墅区荣华里,40
下城区新坝,49
江干区长睦邻里人家,69
滨江区超级星期天公寓,111
滨江区太阳国际,109
余杭区同城印象,99
上城区新城坊,61
上城区望江新园二园,66
西湖区嘉绿南苑,49
拱墅区吉兴公寓,32
上城区凤凰南苑,74
下城区中江花园,39
上城区北落马营,72
江干区居安坊,54
滨江区新州花苑,104
余杭区径香苑,101
西湖区马塍路8号,52
西湖区港湾家园,81
下城区德欣城市嘉园,32
滨江区铂金名筑,99
拱墅区万家花城,55
萧山区绿都百瑞广场,82
江干区京惠花园,47
下城区香石公寓,6
滨江区银色港湾,103
江干区普升福邸,67
拱墅区定海东园,45
萧山区三江新村,101
江干区东亚新干线,48
拱墅区杭钢南苑,41
拱墅区娑婆新村,40
滨江区六眼井,81
上城区钱塘人家,61
江干区金色黎明,55
拱墅区叶青苑,46
拱墅区红石中央花苑,38
江干区东润枫华,66
萧山区金色钱塘,81
西湖区之江诚品公寓,109
下城区野风现代家园,34
拱墅区申花郡,68
江干区广利佳苑,40
西湖区美上商业中心,88
西湖区紫荆大厦,64
江干区东方君悦,79
下城区湖滨阁,50
西湖区天目山路20号,54
上城区定安路,53
江干区新普福家园,63
西湖区天河西苑,56
西湖区丹枫新村,56
西湖区天鹅堡,80
余杭区绿城蓝庭,78
滨江区君尚金座,90
上城区近江二园,68
西湖区枫华府第,43
余杭区昌运里,66
余杭区晴彩巴厘,82
西湖区丹桂公寓,55
江干区新安铭苑,45
萧山区丰东花苑,82
上城区西湖金座,59
余杭区星汇悦城,78
拱墅区橡树园,56
下城区东新府,31
下城区德胜新村,26
余杭区华元西溪欢乐城,103
下城区艮山福居,40
下城区财富中心酒店式公寓,42
拱墅区视界轩,56
下沙区梦琴湾佳苑,106
西湖区黄龙雅苑,52
上城区近江六园,61
上城区望江家园西园,66
拱墅区田园牧歌麓云苑,46
西湖区瑞祺大厦,36
萧山区莱茵传奇园,77
西湖区朗郡庭园,96
拱墅区锦昌文华苑,42
余杭区八方城,82
上城区老浙大横路,50
西湖区紫金小区,54
余杭区翡翠城,97
上城区陆家河头,68
下城区重机宿舍,20
下沙区朗诗国际街区东园,105
江干区东望,54
拱墅区莫干山路526号,42
江干区长睦锦苑,69
上城区临江风帆,68
下城区黎明园,37
拱墅区米市巷新村,36
西湖区宝石山下二弄,57
西湖区师苑新村,43
余杭区梅堰,82
下城区武林路,44
上城区新绿园公寓,74
拱墅区御星公寓,62
江干区东方红街,40
西湖区学院春晓,46
江干区紫薇公寓,51
西湖区府新花园,57
萧山区江南丽锦,78
江干区洁莲小区,53
拱墅区锦绣新村,37
江干区锦润公寓,41
下城区富润里,51
上城区义井巷,55
下城区水星阁,51
下城区江山弄,51
下城区珠碧苑,47
拱墅区三宝郡庭,50
余杭区璞玉雅园,99
上城区金狮苑,67
西湖区白荡海人家,39
下城区打铁关新村,35
滨江区潮人汇大厦,105
西湖区佳苑公寓,67
下城区深蓝广场,41
江干区九润公寓,81
上城区复兴南苑,68
拱墅区金隅田员外,52
余杭区连城国际,88
江干区金秋花园,45
西湖区赞成岭上,110
下沙区景冉佳园,87
下城区胭脂新村,42
拱墅区银树湾,43
拱墅区信义新村,44
萧山区新城香悦奥府,78
下城区钛合国际,39
下城区凤起桥河下,50
下城区柳营花园,59
滨江区金龙.钱江ＭＯＨＯ,96
西湖区中兴公寓,56
上城区十亩田家园,76
余杭区东湖公寓,81
西湖区金海公寓,58
下沙区晓城天地,66
西湖区中海紫藤苑,96
萧山区盈一佳苑,74
拱墅区湖墅北路,40
上城区滨江新苑,65
拱墅区小河路,42
滨江区江南豪园,77
西湖区御溪花苑,82
萧山区金域兰庭,125
拱墅区美都广场,39
上城区下羊线弄,54
滨江区天鸿君邑,108
余杭区鼎悦府,81
西湖区求是村,50
下城区朝晖八区,36
西湖区桃源春居,56
西湖区之江家园二区,108
